Identifier,GISJOIN,Year,Population,Households
1,G47010500601002,2000,1990.71,823.42
2,G47010500601003,2000,758.42,290.88
3,G47010500602023,2000,993,439
4,G47010500602024,2000,843,340
5,G47010500603011,2000,1249.06,513.02
6,G47010500603024,2000,1866,766
7,G47010500601001,2000,1276.12,453.27
8,G47010500602025,2000,1996,759
9,G47010500602011,2000,670.6,250.22
10,G47010500602022,2000,704,303
11,G47010500603023,2000,817.15,321.08
12,G47010500603022,2000,1384,503
13,G47010500603021,2000,1132.94,443.98
14,G47010500602021,2000,1924.4,899.78
15,G47010500603012,2000,1097.85,492.92
16,G47010500602012,2000,2398,877
17,G47009300059032,2000,1177.08,457.77
18,G47009300059031,2000,1264,525
19,G47009300059041,2000,1018.37,416.45
20,G47009300057112,2000,2142,703
21,G47009300058121,2000,1480,538
22,G47009300046111,2000,1996.55,768.78
23,G47009300059071,2000,1809.05,714.03
24,G47009300058031,2000,2674,1027
25,G47009300046093,2000,2009,868
26,G47009300046112,2000,2104,803
27,G47009300057013,2000,1273,452
28,G47009300057111,2000,2546.01,912.43
29,G47009300058081,2000,2368,891
30,G47009300058092,2000,2698,1098
31,G47009300058102,2000,997,381
32,G47009300057124,2000,1872,845
33,G47009300058101,2000,1846,535
34,G47000100213024,2000,1460,565
35,G47009300057121,2000,1283.89,405.47
36,G47009300057122,2000,1704.07,543.32
37,G47009300046063,2000,1684,675
38,G47009300057102,2000,655,231
39,G47009300046092,2000,1127,461
40,G47009300046102,2000,1100,518
41,G47009300046121,2000,2171,854
42,G47009300046091,2000,1719,816
43,G47009300057061,2000,1630.98,635.99
44,G47009300057062,2000,1280,566
45,G47009300057072,2000,834,284
46,G47009300058071,2000,2271,893
47,G47009300059042,2000,1929,729
48,G47009300059082,2000,1241,498
49,G47009300060023,2000,1657,636
50,G47009300057091,2000,1828,599
51,G47009300060032,2000,1604,575
52,G47009300057071,2000,1327.01,526.58
53,G47009300059081,2000,2315.95,856.97
54,G47009300058082,2000,2497,928
55,G47009300057081,2000,2026,673
56,G47009300058111,2000,2007,651
57,G47009300058131,2000,2746.35,961.48
58,G47009300058132,2000,1991.65,772.52
59,G47009300059043,2000,1049,412
60,G47009300059061,2000,1484,539
61,G47009300058091,2000,1801,643
62,G47009300046061,2000,1744,625
63,G47009300059051,2000,1378,510
64,G47009300060011,2000,2218,885
65,G47009300046062,2000,1520,640
66,G47009300057101,2000,1098,417
67,G47014500302012,2000,1126.02,413.68
68,G47014500302013,2000,1360.27,527.89
69,G47014500302011,2000,1106.46,444.85
1,G47010500601002,2010,2668,1127
2,G47010500601003,2010,765,302
3,G47010500602023,2010,1063,439
4,G47010500602024,2010,978,353
5,G47010500603011,2010,1878,848
6,G47010500603024,2010,2271,916
7,G47010500601001,2010,1296,495
8,G47010500602025,2010,2580,916
9,G47010500602011,2010,813,310
10,G47010500602022,2010,764,282
11,G47010500603023,2010,903,361
12,G47010500603022,2010,1419,535
13,G47010500603021,2010,1608,592
14,G47010500602021,2010,2219,954
15,G47010500603012,2010,1454,581
16,G47010500602012,2010,2683,1019
17,G47009300059032,2010,1774,674
18,G47009300059031,2010,2063,833
19,G47009300059041,2010,931,403
20,G47009300057112,2010,2372,809
21,G47009300058121,2010,4824,1617
22,G47009300046111,2010,1840,743
23,G47009300059071,2010,2970,1153
24,G47009300058031,2010,2635,1058
25,G47009300046093,2010,1981,899
26,G47009300046112,2010,2131,829
27,G47009300057013,2010,1344,502
28,G47009300057111,2010,3141,1111
29,G47009300058081,2010,2752,1112
30,G47009300058092,2010,2452,977
31,G47009300058102,2010,918,395
32,G47009300057124,2010,2131,1020
33,G47009300058101,2010,2738,818
34,G47000100213024,2010,1760,663
35,G47009300057121,2010,1539,520
36,G47009300057122,2010,2019,688
37,G47009300046063,2010,2143,828
38,G47009300057102,2010,750,291
39,G47009300046092,2010,1119,450
40,G47009300046102,2010,1220,615
41,G47009300046121,2010,2454,1070
42,G47009300046091,2010,1633,810
43,G47009300057061,2010,2101,794
44,G47009300057062,2010,1539,691
45,G47009300057072,2010,1270,431
46,G47009300058071,2010,2617,1050
47,G47009300059042,2010,2706,1022
48,G47009300059082,2010,1842,672
49,G47009300060023,2010,2534,946
50,G47009300057091,2010,1913,682
51,G47009300060032,2010,1737,622
52,G47009300057071,2010,2000,777
53,G47009300059081,2010,3002,1102
54,G47009300058082,2010,2480,968
55,G47009300057081,2010,3069,1110
56,G47009300058111,2010,2948,993
57,G47009300058131,2010,3347,1218
58,G47009300058132,2010,2286,946
59,G47009300059043,2010,1221,485
60,G47009300059061,2010,1671,617
61,G47009300058091,2010,2442,959
62,G47009300046061,2010,2150,810
63,G47009300059051,2010,1919,816
64,G47009300060011,2010,3120,1318
65,G47009300046062,2010,2091,859
66,G47009300057101,2010,1307,513
67,G47014500302012,2010,1368,553
68,G47014500302013,2010,1660,650
69,G47014500302011,2010,1319,543
1,G47010500601002,2020,2805,1271
2,G47010500601003,2020,839,328
3,G47010500602023,2020,1167,464
4,G47010500602024,2020,1019,394
5,G47010500603011,2020,2346,1101
6,G47010500603024,2020,2905,1258
7,G47010500601001,2020,1343,585
8,G47010500602025,2020,2799,1073
9,G47010500602011,2020,1004,413.01
10,G47010500602022,2020,791,319
11,G47010500603023,2020,900,375
12,G47010500603022,2020,1349,560
13,G47010500603021,2020,1784,704
14,G47010500602021,2020,2736,1241.99
15,G47010500603012,2020,1911,909
16,G47010500602012,2020,2916,1182
17,G47009300059032,2020,2293,923
18,G47009300059031,2020,2888,1259
19,G47009300059041,2020,1008,427
20,G47009300057112,2020,2318,870
21,G47009300058121,2020,7846,2654
22,G47009300046111,2020,1919,774
23,G47009300059071,2020,5375,2184
24,G47009300058031,2020,2829,1183
25,G47009300046093,2020,2074,937.38
26,G47009300046112,2020,2425,994
27,G47009300057013,2020,1376,540
