index,start,end,name,text
1,0:00:04,0:00:07,Hanall Sung," Hi everyone, this is week 13."
2,0:00:07,0:00:13,Hanall Sung, And today's topic is Introduction to Text Analysis.
3,0:00:16,0:00:29,Hanall Sung," Okay, propose an agenda. This week we'll introduce, we'll be introduced to, text data and text analysis, and traditionally."
4,0:00:29,0:00:41,Hanall Sung," Text data has been in the wheelhouse of qualitative researchers. However, we can use a programming language like R to carry out computational text analysis."
5,0:00:41,0:00:51,Hanall Sung," analysis that can blur the lines between qualitative and quantitative in compelling ways. So, in today's session."
6,0:00:51,0:01:10,Hanall Sung," I'm gonna introduce some additional helpful tidyverse functions, and some brief discussion on‚ oh, actually, no discussion. I'm gonna just talk about, some background information about text data, and we're gonna learn more about useful functions for analyzing text."
7,0:01:10,0:01:27,Hanall Sung," Text data, and I'll also introduce some examples of text analysis, and, we're gonna, learn more about new text analysis package, TidyText, and we're gonna wrap up with, wrap up with code-along session, as usual."
8,0:01:30,0:01:33,Hanall Sung, And‚  
9,0:01:33,0:01:52,Hanall Sung," Yes, I‚ I'd like to compliment everyone. You guys are‚ you guys did a great job on the final project plans and the mini-project. I really enjoyed the‚ I really enjoyed, reading them, and appreciated the creativity and thoughtfulness behind your purchase. It's a great‚  "
10,0:01:52,0:02:11,Hanall Sung," Great, great, great work, everyone, and please find my feedback on your final project plans, and I believe Cody also will add some, some of his feedback or suggestions to the mini-project shortly, so please check them out. And I'm happy to follow up if you'd like to discuss more."
11,0:02:13,0:02:14,Hanall Sung, Well done!
12,0:02:16,0:02:24,Hanall Sung," Okay, some helpful tidiverse functions. Let's begin with, forecasts."
13,0:02:24,0:02:39,Hanall Sung," So, factors. In R, factors represent categorical data. Like, unlike characters, factors come with levels that maintain, the distinct categories and their order."
14,0:02:39,0:03:00,Hanall Sung," Right? And, vectors are crucial for handling data that involves distant groups or categories, such as survey responses, like, strongly agree, agree, neutral, disagree, and strongly disagree, the kind of, like, liquor scale or, survey scale, or demographic information, like male, female, other."
15,0:03:00,0:03:20,Hanall Sung," So R represents categorical data as factors to maintain the specific categories and their order. So factors in R have both the category labels, like levels, and the actual data. So in R, we can use forecasts."
16,0:03:20,0:03:22,Hanall Sung," this,"
17,0:03:23,0:03:47,Hanall Sung," package to analyze factors. So, Forecast is part of the Tidiverse, ecosystem and offers tools to manipulate and manage factors more effectively. So, it simplifies common factor operations, such as reordering levels or combining vector levels, which might otherwise require verbose or, complex code."
18,0:03:48,0:03:50,Hanall Sung," So, the first‚  "
19,0:03:50,0:04:15,Hanall Sung," function I'd like to introduce is factor reorder. This is a function in the forecast package that allows you to reorder levels of a factor based on the values of another variable. So this function is highly useful when you want to reorder factor levels based on a summary statistic, like sum, mean, or median, something like that, or"
20,0:04:16,0:04:19,Hanall Sung," No, of another, another variable."
21,0:04:20,0:04:31,Hanall Sung," So it is commonly used for visualizations where the order of categories influences interpretation, like bar charts ordered by value."
22,0:04:31,0:04:42,Hanall Sung," So suppose you have a dataset with two variables, city and revenue, and you want to reorder the levels of city based on the sum of revenue for each"
23,0:04:42,0:04:52,Hanall Sung," city. So, as you can see here, we have a data frame called data, and we have city,"
